Employee_ID,Name,Age,Gender,Department,Experience_Years,Education_Level,Salary_USD,Bonus_%,Job_Role,Joining_Date,City,State,Country,Performance_Rating,Remote_Work,Overtime_Hours_Monthly,Projects_Handled,Attrition
E0876,P. Das,150.0,Male,IT,-3.0,PhD,7806.74,13.49,Sales Associate,2023-09-27,Bangalore,Karnataka,India,4.0,Yes,19.0,18,Yes
E0295,Karan Khan,51.0,Female,Admin,-3.0,PhD,7088.32,13.41,Data Analyst,2008-03-22,Mumbai,Maharashtra,India,4.0,No,11.0,22,Yes
E0329,Rina Reddy,34.0,Male,Marketing,,Bachelor,2683.27,17.52,Sales Associate,2008-10-11,Sydney,NSW,Australia,5.0,,400.0,7,No
E0433,Pooja Patel,,Male,Support,,Master,353556.07,11.34,Sales Associate,2012-01-19,Sydney,NSW,Australia,5.0,No,,24,Yes
E0142,Vivek Gupta,-5.0,Male,Support,14.9,Bachelor,6290.75,16.84,HR Executive,2007-08-28,San Francisco,California,USA,3.0,No,,15,Yes
E0761,Raj Singh,,Male,Finance,1.4,High School,3644.87,15.97,Manager,2018-03-23,Delhi,Delhi,India,2.0,No,24.0,6,No
E0459,R. Nair,,Male,Admin,-3.0,Bachelor,4581.35,6.65,Manager,2005-05-06,New York,New York,USA,4.0,,38.0,3,Yes
E0762,Karan Verma,44.0,Male,Finance,-3.0,High School,4071.19,12.31,Data Analyst,2013-12-17,Mumbai,Maharashtra,India,,,,29,No
E0870,R. Patel,25.0,Male,Finance,1.0,High School,6794.13,16.37,HR Executive,2008-01-01,Delhi,Delhi,India,,,,30,No
E0854,Deepak Sharma,150.0,Female,Support,-3.0,High School,2972.21,10.43,Data Analyst,2017-12-02,Sydney,NSW,Australia,1.0,No,400.0,22,Yes
E0791,Sneha Chopra,19.0,Mlae,Sales,9.2,Master,3903.43,10.8,Manager,2006-08-14,London,England,UK,,,,15,No
E0536,Pooja Sharma,40.0,Male,Sales,5.2,High School,5245.34,18.12,HR Executive,2007-11-14,Bangalore,Karnataka,India,2.0,Yes,,26,No
E0362,Karan Gupta,150.0,Female,Support,20.4,High School,5763.87,12.15,HR Executive,2006-07-25,Sydney,NSW,Australia,,Yes,,2,No
E0888,Amit Reddy,38.0,Male,Support,100.0,High School,6194.46,5.26,Software Engineer,2007-02-15,Bangalore,Karnataka,India,4.0,Yes,,1,Yes
E0399,Sunil Sharma,-5.0,Female,Admin,,PhD,5880.95,9.9,Data Analyst,2020-02-11,Bangalore,Karnataka,India,4.0,,400.0,3,Yes
E0448,Priya Verma,,Male,IT,10.0,Bachelor,5873.88,15.95,Data Analyst,2006-11-27,Bangalore,Karnataka,India,5.0,,400.0,16,No
E0210,Priya Khan,-5.0,Female,Marketing,,Master,5111.45,15.47,Sales Associate,InvalidDate,New York,New York,USA,,Yes,400.0,14,No
E0502,Jyoti Gupta,,Female,Marketing,100.0,High School,4659.63,7.73,HR Executive,2018-04-10,Bangalore,Karnataka,India,2.0,,,20,No
E0781,Sunil Gupta,,Male,Admin,13.5,High School,5841.95,12.46,Software Engineer,2006-04-28,Sydney,NSW,Australia,5.0,Yes,400.0,13,Yes
E0911,Vikas Nair,-5.0,Female,HR,-3.0,Bachelor,8370.03,12.81,Software Engineer,2012-02-03,London,England,UK,3.0,,400.0,13,Yes
E0412,Vikas Gupta,,Female,HR,22.9,Bachelor,3392.65,18.2,Sales Associate,2006-11-08,Delhi,Delhi,India,,,,28,No
E0689,Jyoti Singh,,Male,HR,11.3,Master,3834.48,2.19,Software Engineer,2006-10-27,London,England,UK,5.0,,31.0,23,Yes
E0697,A. Das,150.0,Female,Support,7.7,PhD,7904.94,11.63,Sales Associate,2017-09-21,Delhi,Delhi,India,3.0,,,17,No
E0045,Karan Sharma,-5.0,,Support,4.7,PhD,5947.18,5.4,Software Engineer,2019-03-23,Sydney,NSW,Australia,1.0,Yes,20.0,10,No
E0534,Priya Sharma,,Female,Marketing,-3.0,PhD,4634.21,16.87,Sales Associate,2022-06-03,Mumbai,Maharashtra,India,3.0,No,400.0,5,Yes
E0765,K. Reddy,-5.0,Female,Admin,-3.0,High School,3383.47,5.85,Data Analyst,2007-09-05,New York,New York,USA,1.0,No,,18,Yes
E0335,Anjali Sharma,41.0,Male,Sales,,Bachelor,3706.13,13.49,Manager,2020-12-12,Sydney,NSW,Australia,1.0,,,2,Yes
E0694,Rina Khan,150.0,Male,IT,100.0,High School,5001.06,13.01,Software Engineer,2013-08-04,New York,New York,USA,3.0,,25.0,23,No
E0602,Ravi Chopra,150.0,Male,Sales,100.0,Master,1393.72,2.08,Sales Associate,2021-05-21,Sydney,NSW,Australia,2.0,No,400.0,29,No
E0526,Anjali Das,65.0,Female,IT,,PhD,1769.74,15.82,Data Analyst,2008-08-04,Bangalore,Karnataka,India,3.0,No,400.0,14,Yes
E0468,Sunil Verma,-5.0,Female,Support,100.0,PhD,7371.41,13.59,Data Analyst,2006-11-02,Delhi,Delhi,India,2.0,,10.0,13,No
E0942,Karan Gupta,-5.0,Male,Marketing,3.0,Bachelor,4895.19,18.52,HR Executive,2019-05-03,Mumbai,Maharashtra,India,2.0,Yes,19.0,27,No
E1029,S. Verma,150.0,Male,Sales,9.1,High School,5620.0,9.72,Data Analyst,2014-08-27,Mumbai,Maharashtra,India,1.0,,,4,No
E0449,Priya Patel,150.0,Female,Finance,-3.0,Master,2030.2,2.77,Data Analyst,2018-04-16,New York,New York,USA,1.0,,,20,Yes
E0918,Priya Sharma,21.0,Other,Support,100.0,Bachelor,4068.39,9.25,Manager,2015-11-17,Delhi,Delhi,India,1.0,Yes,1.0,16,Yes
E0052,Pooja Verma,59.0,Female,Marketing,,Master,446891.6,6.43,Data Analyst,2016-02-22,Bangalore,Karnataka,India,,No,400.0,9,Yes
E0731,Anjali Sharma,150.0,Female,Admin,,High School,5924.35,20.12,Software Engineer,2014-03-03,Mumbai,Maharashtra,India,3.0,Yes,,17,Yes
E0621,Anjali Reddy,150.0,Male,HR,-3.0,High School,6621.62,13.97,Data Analyst,2010-01-05,London,England,UK,2.0,Yes,400.0,1,No
E0969,Vikas Patel,-5.0,Male,Sales,-3.0,Master,6501.16,7.92,Data Analyst,2017-12-19,San Francisco,California,USA,5.0,Yes,400.0,25,Yes
E0199,Jyoti Verma,54.0,Female,Marketing,,High School,3979.97,8.65,Sales Associate,2020-06-12,Delhi,Delhi,India,,Yes,400.0,20,Yes
E0057,Ravi Patel,-5.0,Male,Finance,,High School,3492.53,5.55,Manager,2009-09-02,San Francisco,California,USA,5.0,,,4,No
E0507,Vikas Reddy,150.0,,Admin,-3.0,Bachelor,,16.11,HR Executive,2016-04-24,Mumbai,Maharashtra,India,4.0,,400.0,29,No
E0299,Ravi Reddy,,Female,HR,16.9,PhD,6297.42,9.16,Sales Associate,2012-10-05,Mumbai,Maharashtra,India,1.0,No,2.0,16,Yes
E0530,Priya Nair,,Female,HR,100.0,PhD,3344.82,10.43,Sales Associate,2017-08-01,London,England,UK,4.0,No,2.0,7,No
E0738,Vivek Chopra,150.0,Male,HR,13.0,Bachelor,6764.67,7.74,Software Engineer,2021-04-02,San Francisco,California,USA,4.0,Yes,25.0,14,Yes
E0193,Neha Khan,-5.0,Male,HR,-3.0,PhD,6541.73,2.61,Software Engineer,2008-11-12,Mumbai,Maharashtra,India,,,,8,Yes
E0139,R. Khan,,Male,Marketing,11.7,Master,3503.03,17.76,Software Engineer,2009-12-01,London,England,UK,3.0,,,9,Yes
E0800,Neha Reddy,-5.0,Male,Finance,5.0,Bachelor,5414.53,10.35,HR Executive,2019-10-02,Sydney,NSW,Australia,5.0,,17.0,14,No
E0406,Vikas Patel,150.0,Male,Admin,16.2,Master,3653.02,11.39,Software Engineer,2022-04-15,Delhi,Delhi,India,,,,23,Yes
E0629,Pooja Das,58.0,Female,HR,100.0,Master,5560.32,5.95,Manager,2016-02-01,Sydney,NSW,Australia,4.0,Yes,400.0,8,No
E0712,Vivek Khan,150.0,Female,Sales,,PhD,4291.92,7.13,HR Executive,2019-03-24,Delhi,Delhi,India,5.0,No,,25,No
E0032,Amit Reddy,150.0,Female,Sales,-3.0,PhD,4215.78,2.68,Software Engineer,2014-04-13,Bangalore,Karnataka,India,3.0,,400.0,16,No
E0108,Jyoti Nair,150.0,Male,Finance,100.0,Master,3363.56,20.46,Manager,2016-09-16,London,England,UK,,No,400.0,30,Yes
E0110,Raj Gupta,,Male,Marketing,14.0,High School,6248.24,13.14,Software Engineer,2005-07-05,San Francisco,California,USA,2.0,Yes,45.0,1,Yes
E0278,Neha Patel,62.0,Male,Support,100.0,PhD,2991.72,6.16,Data Analyst,2020-11-24,London,England,UK,,Yes,,18,No
E0032,Amit Reddy,150.0,Female,Sales,-3.0,PhD,4215.78,2.68,Software Engineer,2014-04-13,Bangalore,Karnataka,India,3.0,,400.0,16,No
E0087,Pooja Gupta,,,Sales,,Master,6549.27,5.37,HR Executive,2012-04-19,Bangalore,Karnataka,India,1.0,No,,29,No
E0454,Sneha Reddy,150.0,Male,Marketing,100.0,Master,4969.38,12.9,HR Executive,2007-08-14,Sydney,NSW,Australia,5.0,Yes,,9,Yes
E0089,Jyoti Das,-5.0,Female,Finance,,High School,200354.69,18.16,HR Executive,2021-08-05,Delhi,Delhi,India,5.0,Yes,,11,Yes
E0108,Jyoti Nair,150.0,Male,Finance,100.0,Master,3363.56,20.46,Manager,2016-09-16,London,England,UK,,No,400.0,30,Yes
E0333,Sunil Singh,29.0,Mlae,Sales,19.0,High School,6281.69,7.14,Software Engineer,2018-06-22,Sydney,NSW,Australia,1.0,No,,27,Yes
E0797,Vivek Chopra,29.0,Female,HR,,Bachelor,7070.5,0.77,Sales Associate,2019-04-25,San Francisco,California,USA,2.0,,15.0,28,Yes
E0965,Ravi Patel,-5.0,Female,Finance,13.8,High School,5430.79,12.54,Software Engineer,2009-08-20,San Francisco,California,USA,4.0,Yes,,23,Yes
E0715,Neha Khan,,Male,Finance,-3.0,High School,5487.91,8.88,Software Engineer,2010-02-20,New York,New York,USA,1.0,No,,30,No
E0576,Vivek Verma,150.0,Male,Finance,,High School,3928.07,14.04,Manager,2005-08-06,Delhi,Delhi,India,4.0,,400.0,23,Yes
E0466,Jyoti Khan,31.0,Male,Sales,-3.0,High School,2305.75,5.14,Data Analyst,2014-08-05,London,England,UK,5.0,No,15.0,27,Yes
E1006,S. Das,150.0,Female,HR,-3.0,Bachelor,1961.31,4.16,Data Analyst,2015-03-07,New York,New York,USA,3.0,Yes,,30,Yes
E0426,D. Nair,-5.0,Female,Marketing,10.7,Master,9638.66,11.97,HR Executive,2022-07-26,Bangalore,Karnataka,India,3.0,Yes,18.0,4,Yes
E0921,Raj Verma,,Male,Marketing,-3.0,Bachelor,271309.48,14.48,Data Analyst,2016-04-05,Delhi,Delhi,India,4.0,Yes,400.0,2,No
E0618,Priya Khan,-5.0,Other,HR,100.0,High School,2612.73,14.6,Software Engineer,2009-07-02,Mumbai,Maharashtra,India,5.0,,33.0,6,Yes
E0737,Anjali Chopra,,Female,Support,8.4,PhD,4998.58,3.75,HR Executive,InvalidDate,Bangalore,Karnataka,India,5.0,,50.0,16,No
E0937,Amit Chopra,150.0,Female,Sales,-3.0,Master,3900.92,9.42,Sales Associate,2019-03-02,Delhi,Delhi,India,1.0,No,48.0,16,No
E0011,Ravi Verma,33.0,Male,Admin,7.0,High School,8704.56,0.0,Data Analyst,2010-07-16,Delhi,Delhi,India,4.0,Yes,400.0,1,No
E0731,Anjali Sharma,150.0,Female,Admin,,High School,5924.35,20.12,Software Engineer,2014-03-03,Mumbai,Maharashtra,India,3.0,Yes,,17,Yes
E0933,Vivek Patel,,Female,Sales,12.9,Master,,8.2,Manager,2015-12-08,New York,New York,USA,1.0,,400.0,9,No
E0724,S. Reddy,53.0,,Finance,,Master,6974.67,9.62,Manager,2009-03-25,San Francisco,California,USA,1.0,,400.0,13,Yes
E0328,P. Chopra,,Female,HR,12.1,PhD,3066.05,9.76,Sales Associate,2015-03-20,London,England,UK,4.0,Yes,,28,Yes
E0179,Amit Singh,-5.0,Male,IT,6.7,High School,407583.79,5.7,Manager,2016-08-20,Sydney,NSW,Australia,,Yes,400.0,6,Yes
E0567,Raj Nair,59.0,Male,IT,-3.0,Bachelor,5359.16,11.75,Software Engineer,2006-08-21,San Francisco,California,USA,3.0,Yes,,9,Yes
E0973,Vikas Patel,150.0,Female,Marketing,100.0,PhD,6337.31,10.49,Software Engineer,2008-09-16,San Francisco,California,USA,,Yes,1.0,21,Yes
E0590,Vivek Verma,-5.0,Female,Support,-3.0,High School,5246.41,12.76,HR Executive,2011-11-01,Delhi,Delhi,India,2.0,,,3,No
E0596,Anjali Gupta,150.0,Female,HR,,PhD,4381.58,6.24,Data Analyst,2009-10-10,New York,New York,USA,3.0,,14.0,28,Yes
E0585,Vivek Das,150.0,Male,Support,6.7,PhD,1338.73,12.56,HR Executive,2011-01-26,Sydney,NSW,Australia,2.0,No,400.0,20,No
E0114,V. Gupta,150.0,Female,Support,,High School,3355.56,11.22,HR Executive,2022-06-13,Delhi,Delhi,India,2.0,,46.0,17,No
E0842,Amit Verma,60.0,Female,Support,100.0,High School,6843.6,12.41,Software Engineer,2012-06-22,San Francisco,California,USA,5.0,,,17,No
E0334,Jyoti Chopra,-5.0,Female,IT,-3.0,High School,7798.71,14.62,HR Executive,2012-07-07,Delhi,Delhi,India,2.0,Yes,400.0,14,No
E0050,Deepak Das,-5.0,Male,Sales,3.4,Master,6043.88,11.48,Manager,2023-07-27,Sydney,NSW,Australia,3.0,Yes,43.0,16,Yes
E0060,Pooja Reddy,,Male,HR,100.0,Master,4470.69,23.6,Software Engineer,2009-03-25,Mumbai,Maharashtra,India,,Yes,400.0,22,No
E0944,Raj Gupta,150.0,Male,IT,-3.0,High School,1592.26,5.38,Software Engineer,2008-11-14,Mumbai,Maharashtra,India,3.0,Yes,400.0,5,No
E0592,R. Singh,150.0,Female,Sales,-3.0,PhD,3515.06,3.4,Sales Associate,2008-10-27,New York,New York,USA,2.0,Yes,,3,Yes
E0754,Vikas Khan,-5.0,Female,Sales,100.0,Bachelor,5873.48,12.02,Data Analyst,2020-07-08,New York,New York,USA,5.0,,41.0,4,No
E0274,Anjali Chopra,-5.0,Male,Admin,100.0,PhD,3965.42,17.05,Sales Associate,2005-10-17,San Francisco,California,USA,2.0,No,400.0,29,Yes
E0985,Deepak Singh,-5.0,Female,Admin,,Master,8042.01,5.26,HR Executive,2015-11-23,Delhi,Delhi,India,5.0,Yes,,24,Yes
E0584,Ravi Sharma,-5.0,Female,Support,15.0,PhD,-406.46,13.39,Manager,2021-09-28,San Francisco,California,USA,,Yes,,16,Yes
E0783,Rina Nair,150.0,Female,Marketing,100.0,Master,,13.47,Sales Associate,2005-09-15,London,England,UK,3.0,No,400.0,28,Yes
E0024,Vivek Nair,,Female,Marketing,,Bachelor,5722.79,17.69,Data Analyst,2013-09-16,Sydney,NSW,Australia,3.0,No,,10,Yes
E0219,Sneha Chopra,,Female,Marketing,22.9,Master,5118.44,10.07,Software Engineer,2021-08-11,San Francisco,California,USA,1.0,,400.0,19,Yes
E0159,Sunil Das,-5.0,Male,Marketing,,Bachelor,4501.93,12.88,Software Engineer,2013-08-15,New York,New York,USA,3.0,,3.0,25,Yes
E0531,Deepak Das,-5.0,Male,Admin,100.0,High School,-842.7,12.18,Manager,2023-04-25,Delhi,Delhi,India,,,400.0,26,Yes
E0211,Raj Das,-5.0,Female,Sales,100.0,Master,8059.1,9.21,Sales Associate,2022-08-06,Mumbai,Maharashtra,India,5.0,No,400.0,19,No
E0679,Priya Gupta,,Male,Support,,Master,10519.32,11.96,Software Engineer,2006-06-18,Bangalore,Karnataka,India,2.0,No,,13,Yes
E1034,R. Reddy,-5.0,Female,HR,-3.0,Bachelor,3586.21,14.28,Software Engineer,2017-10-02,San Francisco,California,USA,4.0,,400.0,18,No
E0812,Sunil Nair,-5.0,Female,Finance,,Master,5450.62,8.15,Manager,2022-11-11,Sydney,NSW,Australia,4.0,No,400.0,26,No
E0553,Karan Khan,20.0,Female,Marketing,10.8,PhD,,4.97,Software Engineer,2012-11-25,Delhi,Delhi,India,1.0,No,47.0,27,No
E0084,Vikas Chopra,150.0,Female,Marketing,-3.0,Bachelor,2478.23,14.59,Sales Associate,2006-01-03,London,England,UK,,,,7,No
E0492,Jyoti Chopra,-5.0,Male,Finance,,PhD,3430.2,13.24,Manager,2008-10-13,San Francisco,California,USA,5.0,No,,27,Yes
E0421,Jyoti Das,-5.0,Male,Finance,,PhD,5152.01,12.69,Software Engineer,2023-01-04,New York,New York,USA,1.0,No,,25,No
E0833,Rina Verma,,Female,Finance,100.0,PhD,4440.48,13.95,Software Engineer,2021-02-02,San Francisco,California,USA,,No,35.0,4,No
E0825,Vikas Khan,150.0,Male,Admin,-3.0,High School,2237.91,11.52,Sales Associate,2020-02-20,Mumbai,Maharashtra,India,2.0,No,,5,Yes
E0544,Neha Verma,150.0,Male,HR,100.0,High School,5969.47,5.77,HR Executive,2019-04-06,San Francisco,California,USA,3.0,,48.0,30,Yes
E0129,Rina Patel,150.0,Male,Support,100.0,PhD,5300.79,11.71,Data Analyst,2006-10-12,New York,New York,USA,5.0,,400.0,23,No
E0360,Karan Sharma,28.0,Female,HR,-3.0,Master,8001.52,14.25,Software Engineer,2009-11-12,Sydney,NSW,Australia,2.0,Yes,54.0,15,No
E0276,Vivek Gupta,-5.0,,Support,-3.0,Bachelor,652731.54,7.39,HR Executive,2018-03-03,Sydney,NSW,Australia,4.0,No,,20,No
E0600,Pooja Nair,-5.0,Female,IT,-3.0,High School,7152.01,10.11,Data Analyst,2012-04-19,Delhi,Delhi,India,4.0,No,,29,Yes
E0320,Pooja Chopra,61.0,Male,HR,,PhD,6139.53,12.24,Manager,2008-08-04,New York,New York,USA,4.0,No,400.0,18,Yes
E0077,Jyoti Gupta,,Female,Sales,100.0,Bachelor,6359.2,6.35,Sales Associate,2013-02-24,New York,New York,USA,4.0,,52.0,18,No
E0617,Karan Verma,48.0,Male,Admin,-3.0,Master,5854.39,6.77,Data Analyst,2010-09-05,Delhi,Delhi,India,,Yes,23.0,26,Yes
E0209,Priya Verma,52.0,Female,Admin,,PhD,,5.05,Data Analyst,2020-07-12,Mumbai,Maharashtra,India,,,36.0,14,Yes
E0723,Raj Reddy,150.0,Female,HR,5.9,PhD,2484.84,8.83,Sales Associate,2015-05-12,Mumbai,Maharashtra,India,5.0,,400.0,25,No
E0221,Vikas Khan,150.0,Male,Support,-3.0,PhD,3906.28,9.84,Sales Associate,2022-12-11,London,England,UK,3.0,No,,2,No
E0287,Raj Reddy,31.0,Other,Support,100.0,High School,501269.09,11.01,HR Executive,2005-08-05,Mumbai,Maharashtra,India,1.0,Yes,400.0,9,Yes
E0579,Ravi Verma,-5.0,Male,Admin,,High School,1767.38,4.73,HR Executive,2021-02-15,New York,New York,USA,3.0,,46.0,21,No
E0378,Vivek Sharma,18.0,Female,Sales,,PhD,8227.42,12.27,Software Engineer,2022-01-27,London,England,UK,4.0,,400.0,27,No
E0244,Jyoti Nair,,Male,Sales,,Bachelor,5391.69,5.11,HR Executive,2023-04-18,New York,New York,USA,,,15.0,3,No
E0140,Raj Singh,25.0,Male,Sales,100.0,High School,7358.59,10.34,HR Executive,2019-09-12,New York,New York,USA,5.0,Yes,23.0,9,Yes
E0232,Sneha Das,-5.0,Female,Sales,-3.0,High School,6186.2,8.45,Sales Associate,2009-06-25,Mumbai,Maharashtra,India,2.0,No,,20,No
E0891,Deepak Chopra,-5.0,Male,Admin,,High School,6164.05,11.3,HR Executive,2022-01-12,San Francisco,California,USA,5.0,,,1,Yes
E0494,Pooja Sharma,,Female,HR,-3.0,High School,6444.76,8.14,Software Engineer,2022-05-23,New York,New York,USA,,Yes,,14,No
E0630,Vikas Patel,,Female,Admin,,PhD,324185.7,9.93,Software Engineer,2023-02-04,London,England,UK,2.0,No,,23,No
E0372,Sunil Khan,,Male,Marketing,100.0,PhD,5300.84,11.82,Manager,2018-03-14,New York,New York,USA,5.0,No,400.0,3,Yes
E0537,Ravi Gupta,36.0,Male,IT,100.0,Bachelor,,8.54,Manager,2021-12-25,New York,New York,USA,5.0,,22.0,13,Yes
E0271,Jyoti Nair,,Female,HR,100.0,Bachelor,4120.54,17.23,Software Engineer,2015-09-21,Mumbai,Maharashtra,India,3.0,,400.0,19,No
E0814,Deepak Patel,38.0,Male,HR,100.0,PhD,679933.42,16.91,Sales Associate,2010-11-04,Delhi,Delhi,India,3.0,,,13,No
E0967,Rina Patel,150.0,Male,Marketing,-3.0,Master,5574.66,9.77,Software Engineer,2019-12-10,Bangalore,Karnataka,India,5.0,,400.0,9,No
E1025,Neha Singh,37.0,Male,Sales,,Bachelor,8263.71,6.33,HR Executive,2013-10-24,Delhi,Delhi,India,2.0,No,,26,Yes
E0157,Neha Verma,28.0,Female,IT,100.0,PhD,3848.36,8.62,Sales Associate,2018-03-02,Mumbai,Maharashtra,India,2.0,Yes,,18,No
E0751,Sneha Verma,150.0,Female,Support,9.4,PhD,8022.31,2.74,Sales Associate,2005-11-07,London,England,UK,,Yes,26.0,11,Yes
E0963,Sunil Khan,,Other,IT,100.0,High School,7776.68,8.07,HR Executive,2010-07-15,London,England,UK,4.0,,19.0,1,Yes
E0794,Neha Verma,43.0,Female,IT,,High School,3072.48,5.21,Software Engineer,InvalidDate,New York,New York,USA,1.0,Yes,400.0,8,No
E0983,Vikas Das,,Male,Sales,-3.0,PhD,-982.27,9.07,Data Analyst,2017-03-19,New York,New York,USA,3.0,No,400.0,9,No
E0465,Ravi Chopra,150.0,Female,Support,-3.0,PhD,5273.07,8.17,Sales Associate,2022-04-13,London,England,UK,,No,,25,Yes
E0079,Sunil Verma,,Male,IT,-3.0,Master,6267.84,0.13,Data Analyst,2019-06-12,Bangalore,Karnataka,India,1.0,,,12,No
E0175,Vivek Verma,-5.0,Female,Finance,,High School,6141.2,6.18,Software Engineer,2023-09-06,San Francisco,California,USA,,,50.0,13,No
E0878,Karan Reddy,,Mlae,Sales,100.0,Bachelor,5394.58,11.56,Sales Associate,2023-02-15,Mumbai,Maharashtra,India,,No,,12,No
E0623,K. Singh,,Female,Marketing,-3.0,High School,7253.41,4.55,Sales Associate,2014-03-28,Sydney,NSW,Australia,4.0,No,35.0,28,Yes
E0527,Sneha Patel,,Female,Admin,6.3,High School,3379.5,11.0,Software Engineer,2009-08-06,Delhi,Delhi,India,3.0,No,,29,Yes
E0993,Anjali Sharma,150.0,Female,Finance,,High School,3307.37,12.72,HR Executive,2018-01-11,London,England,UK,3.0,Yes,33.0,13,No
E0332,Raj Singh,,Male,Finance,-3.0,High School,2996.76,8.59,Sales Associate,2018-07-21,London,England,UK,2.0,Yes,17.0,1,No
E0040,Jyoti Gupta,,Female,Admin,4.2,PhD,7285.65,13.76,HR Executive,2019-01-07,San Francisco,California,USA,2.0,No,,16,Yes
E0031,Ravi Chopra,33.0,Male,Sales,-3.0,PhD,6937.29,6.49,HR Executive,2015-03-16,San Francisco,California,USA,3.0,No,,23,No
E0813,Karan Verma,57.0,Mlae,Admin,,Master,532167.55,0.0,Software Engineer,2009-05-12,Delhi,Delhi,India,5.0,,56.0,3,Yes
E0137,Sneha Nair,22.0,,HR,-3.0,PhD,6028.88,13.56,Data Analyst,2020-02-01,Mumbai,Maharashtra,India,1.0,No,13.0,30,Yes
E0055,Priya Gupta,,Female,Marketing,15.8,Master,3358.64,14.82,HR Executive,2017-07-22,San Francisco,California,USA,,No,4.0,11,Yes
E0811,Anjali Reddy,150.0,Female,IT,100.0,Master,2960.67,9.88,Manager,2017-03-05,London,England,UK,5.0,No,26.0,11,No
E0716,Raj Singh,-5.0,Female,Finance,-3.0,PhD,1798.19,5.86,Software Engineer,2006-10-21,San Francisco,California,USA,,Yes,,16,No
E0568,Anjali Sharma,-5.0,Female,Finance,100.0,High School,6269.44,15.55,Software Engineer,2007-04-27,London,England,UK,2.0,,17.0,6,No
E0904,Raj Sharma,150.0,,HR,-3.0,Bachelor,3363.14,17.66,Manager,2009-12-04,London,England,UK,,Yes,2.0,17,Yes
E0324,Ravi Chopra,-5.0,Female,IT,2.8,PhD,5256.21,6.59,HR Executive,2021-05-18,Delhi,Delhi,India,5.0,,1.0,14,Yes
E0631,Ravi Sharma,,Female,Marketing,12.7,PhD,5012.84,7.82,Software Engineer,2011-10-06,Sydney,NSW,Australia,3.0,Yes,400.0,26,Yes
E0004,Pooja Khan,-5.0,,Support,-3.0,Master,4073.16,7.67,Software Engineer,2015-07-09,Bangalore,Karnataka,India,5.0,,20.0,21,No
E0431,Raj Chopra,,Male,Finance,-3.0,Bachelor,9986.0,9.97,Manager,2023-02-22,London,England,UK,2.0,No,400.0,22,Yes
E0505,Amit Nair,150.0,,IT,-3.0,High School,1266.93,9.59,HR Executive,2012-08-04,Delhi,Delhi,India,1.0,,400.0,27,Yes
E0245,Ravi Gupta,54.0,Male,Sales,,Master,1594.83,15.15,Software Engineer,2014-03-12,Sydney,NSW,Australia,4.0,,400.0,2,Yes
E0778,Sunil Das,26.0,Male,Sales,100.0,PhD,1964.25,8.21,Sales Associate,2008-12-14,New York,New York,USA,5.0,,400.0,12,No
